ID,Category,Pos_b,Pos_e,Privacy
0,email,0,5,《别告诉我你
0,organization,6,6,懂
0,vx,7,9,PPT
0,game,10,10,》
0,movie,11,11,《
0,vx,12,12,不
0,game,13,16,懂项目管
0,organization,17,19,理还敢
0,mobile,20,21,拼职
0,mobile,22,23,场》
0,mobile,24,25,《让
0,mobile,26,27,营销
0,mobile,28,29,更性
0,mobile,30,31,感》
0,mobile,32,32,的
0,name,33,33,作
0,mobile,34,34,者
0,name,35,35,李
0,mobile,36,37,治（
0,organization,38,40,Liz
0,company,42,42,，
0,movie,43,43,《
0,vx,44,44,不
0,game,45,45,懂
0,movie,46,46,项
0,vx,47,47,目
0,game,48,51,管理，还
0,organization,52,54,敢拼职
0,organization,55,55,场
0,vx,56,56,》
0,game,57,57,及
0,movie,58,58,《
0,vx,59,59,别
0,game,60,63,告诉我你
0,vx,64,64,懂
0,game,65,70,PPT》的作
0,organization,71,72,"者"""
1,email,0,2,魏领，
1,address,3,4,河南
1,book,6,7,宝艺
1,scene,8,12,术文物书画
1,position,13,13,司
1,vx,14,14,法
1,game,15,18,鉴定所所
1,organization,19,20,长，
1,company,22,22,家
1,organization,23,24,文物
1,email,26,27,术品
1,position,28,28,司
1,vx,29,29,法
1,game,30,30,鉴
1,movie,31,31,定
1,vx,32,32,专
1,game,33,33,家
1,movie,34,34,，
1,position,35,35,河
1,vx,36,36,南
1,game,37,40,省现代艺
1,organization,41,42,术院
1,position,42,42,院
1,vx,44,44,长
1,game,45,48,，拾文化
1,vx,49,49,合
1,game,50,53,作司法鉴
1,organization,54,54,定
1,vx,55,55,专
1,game,56,59,家、书画
1,vx,60,60,家
1,game,61,64,。，河南
1,organization,65,66,珍宝
1,email,68,72,术文物书画
1,position,73,73,司
1,vx,74,74,法
1,game,75,78,鉴定所所
1,organization,79,80,"长"""
10,company,0,0,上
10,organization,1,1,过
10,vx,2,2,学
10,game,3,6,，下过海
10,organization,7,8,，作
10,email,10,11,一个
10,position,12,12,职
10,vx,13,13,业
10,game,14,17,经理人一
10,vx,18,18,路
10,game,19,22,走来，以
10,organization,23,23,一
10,vx,24,24,个
10,game,25,28,佛教徒的
10,vx,29,29,淡
10,game,30,33,定心态寻
10,vx,34,34,找
10,game,35,38,梦中的香
10,vx,39,39,格
10,game,40,43,里拉。不
10,vx,44,44,在
10,game,45,48,乎目的地
10,vx,49,49,的
10,game,50,53,遥远，但
10,vx,54,54,是
10,game,55,58,留意沿途
10,vx,59,59,的
10,game,60,63,每一道风
10,vx,64,64,景
10,game,65,68,。，我爱
10,vx,69,69,我
10,game,70,73,家市场总
10,organization,74,75,"监"""
100,email,0,5,一位在香港工
100,organization,6,7,作的
100,email,9,14,先生对记者表
100,organization,15,16,示。
1000,company,0,0,中
1000,organization,1,1,国
1000,vx,2,2,美
1000,game,3,6,术家协会
1000,organization,7,8,会员
1000,position,9,9,，
1000,vx,10,10,海
1000,game,11,14,南省油画
1000,organization,15,16,学会
1000,position,17,17,副
1000,vx,18,18,主
1000,game,19,22,席。谭龙
1000,vx,23,23,建
1000,game,24,29,网址：www
1000,vx,30,30,.
1000,game,31,35,hntlj
1000,vx,36,36,.
1000,game,37,42,com博客地
1000,organization,43,43,址
1000,vx,44,47,http
1000,game,48,54,://blog
1000,vx,55,55,.
1000,game,56,64,sina.com.
1000,organization,65,67,cn/
1000,email,69,76,/2159397
1000,name,77,78,84
1000,mobile,79,80,3，
1000,position,81,81,中
1000,game,82,85,国美术家
1000,organization,86,87,协会
1000,position,87,87,会
1000,vx,89,89,员
1000,game,90,93,，海南省
1000,organization,94,94,油
1000,vx,95,95,画
1000,game,96,99,学会副主
1000,organization,100,101,"席"""
1001,email,0,5,爱显摆，爱矫
1001,vx,6,6,情
1001,game,7,10,;爱老婆
1001,vx,11,11,，
1001,game,12,15,爱朋友;
1001,vx,16,16,爱
1001,game,17,20,贴吧，也
1001,vx,21,21,爱
1001,game,22,25,美女;我
1001,vx,26,26,不
